Sample_ID	Ancestry_Sex	Ancestry
GM18501	AFR_XY	AFR
GM18519	AFR_XY	AFR
GM18856	AFR_XY	AFR
GM18861	AFR_XX	AFR
GM18864	AFR_XX	AFR
GM18865	AFR_XY	AFR
GM18871	AFR_XY	AFR
GM18876	AFR_XX	AFR
GM18924	AFR_XX	AFR
GM19035	AFR_XY	AFR
GM19041	AFR_XY	AFR
GM19308	AFR_XY	AFR
GM19312	AFR_XY	AFR
GM19462	AFR_XX	AFR
GM19471	AFR_XX	AFR
GM19473	AFR_XX	AFR
HG00105	EUR_XY	EUR
HG00110	EUR_XX	EUR
HG00121	EUR_XX	EUR
HG00127	EUR_XX	EUR
HG00136	EUR_XY	EUR
HG00151	EUR_XY	EUR
HG00331	EUR_XX	EUR
HG00410	EAS_XX	EAS
HG00473	EAS_XX	EAS
HG00525	EAS_XX	EAS
HG00599	EAS_XX	EAS
HG00631	EAS_XY	EAS
HG00675	EAS_XX	EAS
HG00705	EAS_XX	EAS
HG00706	EAS_XY	EAS
HG00728	EAS_XY	EAS
HG01046	EAS_XX	EAS
HG01122	AMR_XX	AMR
HG01281	AMR_XX	AMR
HG01312	AMR_XX	AMR
HG01363	AMR_XX	AMR
HG01369	AMR_XX	AMR
HG01372	AMR_XX	AMR
HG01395	AMR_XY	AMR
HG01414	AMR_XX	AMR
HG01468	AMR_XX	AMR
HG01501	EUR_XX	EUR
HG01615	EUR_XY	EUR
HG01695	EUR_XX	EUR
HG01790	EUR_XX	EUR
HG01797	EAS_XX	EAS
HG01801	EAS_XX	EAS
HG01812	EAS_XX	EAS
HG01862	EAS_XX	EAS
HG02048	EAS_XX	EAS
HG02051	AFR_XY	AFR
HG02102	AMR_XX	AMR
HG02185	EAS_XX	EAS
HG02252	AMR_XX	AMR
HG02262	AMR_XY	AMR
HG02282	AFR_XX	AFR
HG02312	AMR_XX	AMR
HG02345	AMR_XX	AMR
HG02373	EAS_XY	EAS
HG02389	EAS_XY	EAS
HG02396	EAS_XY	EAS
HG02409	EAS_XY	EAS
HG02502	AFR_XX	AFR
HG02614	AFR_XX	AFR
HG02615	AFR_XX	AFR
HG02694	SAS_XX	SAS
HG02731	SAS_XX	SAS
HG02817	AFR_XX	AFR
HG02974	AFR_XX	AFR
HG02979	AFR_XX	AFR
HG03022	SAS_XX	SAS
HG03069	AFR_XY	AFR
HG03120	AFR_XY	AFR
HG03121	AFR_XX	AFR
HG03168	AFR_XX	AFR
HG03279	AFR_XX	AFR
HG03499	AFR_XX	AFR
HG03548	AFR_XX	AFR
HG03563	AFR_XX	AFR
HG03571	AFR_XY	AFR
HG03631	SAS_XX	SAS
HG03643	SAS_XX	SAS
HG03646	SAS_XY	SAS
HG03668	SAS_XX	SAS
HG03717	SAS_XX	SAS
HG03731	SAS_XX	SAS
HG03744	SAS_XY	SAS
HG03770	SAS_XX	SAS
HG03774	SAS_XX	SAS
HG03814	SAS_XX	SAS
HG03861	SAS_XX	SAS
HG03864	SAS_XY	SAS
HG03868	SAS_XX	SAS
HG03898	SAS_XX	SAS
HG03919	SAS_XX	SAS
HG03971	SAS_XY	SAS
HG04054	SAS_XX	SAS
HG04063	SAS_XX	SAS
HG04216	SAS_XX	SAS
