Sample_ID	Mean_length_cramino	N50_cramino	Est_depth_cramino
GM18501	15151	61903	43.4375
GM18519	17233	58431	44.2656
GM18856	9817	56929	44.0031
GM18861	14030	49448	51.025
GM18864	8493	44970	52.6312
GM18865	16683	54749	53.975
GM18871	11264	47959	54.7031
GM18876	12962	51996	50.2406
GM18924	7161	53144	39.6375
GM19035	11252	45872	36.1344
GM19041	16812	57382	43.7063
GM19308	13797	52978	42.4375
GM19312	11623	49359	48.1094
GM19462	17058	64385	41.7
GM19471	15769	63993	43.1594
GM19473	11392	50931	47.5719
HG00105	7369	40842	53.5594
HG00110	12641	56062	31.7937
HG00121	9834	54227	32.7625
HG00127	12153	46431	25.2125
HG00136	7694	40283	40.5719
HG00151	8647	53167	43.5406
HG00331	5602	44115	37.225
HG00410	14446	63425	34.8875
HG00473	10447	54689	44.5031
HG00525	10495	57244	34.6562
HG00599	7884	49029	39.5156
HG00631	9693	47590	31.4281
HG00675	8509	46090	33.7562
HG00705	11365	50237	36.9719
HG00706	9349	43678	35.1844
HG00728	11412	60526	27.5125
HG01046	11175	57349	43.6875
HG01122	9626	63432	30.8719
HG01281	13755	76930	32.2094
HG01312	13986	50713	34.3969
HG01363	12403	51506	40.0375
HG01369	10930	53685	40.6
HG01372	12500	78283	33.6781
HG01395	10825	51643	50.8031
HG01414	9844	56136	36.8219
HG01468	16522	71324	26.5906
HG01501	10827	43751	29.7562
HG01615	7057	42315	41.6687
HG01695	8119	43014	33.1156
HG01790	15916	71617	39.9906
HG01797	15047	49577	29.8281
HG01801	15864	51500	30.4219
HG01812	13327	67015	26.8812
HG01862	12118	51432	42.7406
HG02048	7741	46855	43.6625
HG02051	10030	43371	31.8687
HG02102	9508	42146	33.1312
HG02185	7718	49582	36.8562
HG02252	9452	54928	33.275
HG02262	10864	45062	44.3625
HG02282	15152	63902	28.4094
HG02312	22096	58675	31.5312
HG02345	16305	61434	42.2406
HG02373	10411	59588	40.375
HG02389	11362	54679	53.6031
HG02396	7928	46808	47.6281
HG02409	12675	63928	45.8906
HG02502	16766	74233	29.1937
HG02614	14170	63987	31.6406
HG02615	12498	56404	30.2469
HG02694	12219	54754	35.2125
HG02731	13384	50670	35.5281
HG02817	9977	50724	31.7156
HG02974	11324	56313	31.5937
HG02979	10622	54860	38.0531
HG03022	15311	78873	34.6156
HG03069	9685	61592	35.2812
HG03120	8381	47924	31.775
HG03121	15946	54000	37.8312
HG03168	11779	53810	34.0187
HG03279	10934	49735	30.9156
HG03499	9429	44553	34.3344
HG03548	9331	48038	29.5094
HG03563	13268	51850	42.875
HG03571	8030	40519	31.9313
HG03631	10376	42845	45.2094
HG03643	16600	72536	28.5781
HG03646	10329	62692	30.5969
HG03668	15927	69733	29.3062
HG03717	10776	46944	30.2844
HG03731	9055	51215	41.5906
HG03744	14249	59788	33.3125
HG03770	13116	54418	31.4844
HG03774	10009	53176	40.8687
HG03814	6817	40146	33.1656
HG03861	8233	40573	44.9219
HG03864	12176	61519	29.3781
HG03868	8443	40709	32.9531
HG03898	9379	42821	33.8937
HG03919	7373	48795	31.9844
HG03971	9617	46929	36.1875
HG04054	9140	52526	31.3906
HG04063	9183	50226	31.4906
HG04216	12907	51741	34.6969
